"name";"price";"url";"shop";"city"
"COLORFUL EPOCH N14 i7-13620H RAM 16GB DDR5-5200 SSD 512GB RTX 4060 8GB GDDR6 14"" QHD 165Hz Laptop";"Rp19.899.000";"https://www.tokopedia.com/star-seventeen-com/colorful-epoch-n14-i7-13620h-ram-16gb-ddr5-5200-ssd-512gb-rtx-4060-8gb-gddr6-14-qhd-165hz-laptop-1730864494550484869?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"STAR SEVENTEEN COM";"Jakarta Selatan"
"COLORFUL EVOL P15 i7-13620H RAM 16GB DDR5 4800MHz SSD 512GB RTX 4060 8GB GDDR6 Laptop";"Rp17.899.000";"https://www.tokopedia.com/star-seventeen-com/colorful-evol-p15-i7-13620h-ram-16gb-ddr5-4800mhz-ssd-512gb-rtx-4060-8gb-gddr6-laptop-1730864492740380549?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"STAR SEVENTEEN COM";"Jakarta Selatan"
"COLORFUL EVOL P15 RTX 4060 i7 - 13620H Laptop Gaming | Biru Muda";"Rp17.999.000";"https://www.tokopedia.com/gamingpcstore/colorful-evol-p15-rtx-4060-i7-13620h-laptop-gaming-biru-muda-1733307115722605733?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"STAR17 COM";"Jakarta Selatan"
"COLORFUL EVOL P15 23-HJ76B-G - GeForce RTX 4060 Core i7-13620H 512GB SSD 16GB RAM Grey Notebook Laptop Gaming";"Rp17.599.000";"https://www.tokopedia.com/gasol/colorful-evol-p15-23-hj76b-g-geforce-rtx-4060-core-i7-13620h-512gb-ssd-16gb-ram-grey-notebook-laptop-gaming-1734313389492045006?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"GASOL MALANG";"Malang"
"Laptop MSI KATANA 15 Intel Core i7 13620H Rtx 4060 8Gb / Ram 16Gb 1Tb Ssd Win 11 + Office Ori";"Rp18.299.000";"https://www.tokopedia.com/herlinacom/laptop-msi-katana-15-intel-core-i7-13620h-rtx-4060-8gb-ram-16gb-1tb-ssd-win-11-office-ori-1732444840211088782?extParam=ivf%3Dtrue%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Herlinacom";"Depok"
"COLORFUL EPOCH N14 RTX 4060 i7 - 13620H Laptop Gaming | Deep Ocean Blue";"Rp19.999.000";"https://www.tokopedia.com/gamingpcstore/colorful-epoch-n14-rtx-4060-i7-13620h-laptop-gaming-deep-ocean-blue-1733308893799548069?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"STAR17 COM";"Jakarta Selatan"
"Laptop Gaming Colorful Epoch N14 AI PC - Intel Core i7-13620H | 16GB | GeForce RTX 4060 | SSD NVMe 512GB";"Rp19.989.000";"https://www.tokopedia.com/jayapc/laptop-gaming-colorful-epoch-n14-ai-pc-intel-core-i7-13620h-16gb-geforce-rtx-4060-ssd-nvme-512gb-1733660871745177112?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Jaya PC";"Jakarta Pusat"
"ACER PREDATOR HELIOS NEO 16 PHN16-72-93X3 - GeForce RTX 4060 Core i9-14900HX 1TB SSD 16GB RAM Notebook Laptop Gaming";"Rp24.799.000";"https://www.tokopedia.com/gasol-kaliurang/acer-predator-helios-neo-16-phn16-72-93x3-geforce-rtx-4060-core-i9-14900hx-1tb-ssd-16gb-ram-notebook-laptop-gaming-1734445635998286973?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"GASOL KALIURANG";"Malang"
"COLORFUL EVOL P15 23-HJ76B-G - GeForce RTX 4060 Core i7-13620H 512GB SSD 16GB RAM Grey Notebook Laptop Gaming";"Rp17.599.000";"https://www.tokopedia.com/gasolsurabaya/colorful-evol-p15-23-hj76b-g-geforce-rtx-4060-core-i7-13620h-512gb-ssd-16gb-ram-grey-notebook-laptop-gaming-1734313389474285563?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Gasol Maspion Square Surabaya";"Surabaya"
"COLORFUL EVOL P15 23-HJ76B-G - GeForce RTX 4060 Core i7-13620H 512GB SSD 16GB RAM Grey Notebook Laptop Gaming";"Rp17.599.000";"https://www.tokopedia.com/gasolsumbersari/colorful-evol-p15-23-hj76b-g-geforce-rtx-4060-core-i7-13620h-512gb-ssd-16gb-ram-grey-notebook-laptop-gaming-1734313389475006351?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"GASOL SUMBERSARI";"Malang"
"COLORFUL EPOCH N14 AI PC | Laptop Gaming i7 13620H RTX 4060 512GB SSD 16GB DDR5 QHD 165Hz";"Rp20.499.000";"https://www.tokopedia.com/toko-expert-komputer/colorful-epoch-n14-ai-pc-laptop-gaming-i7-13620h-rtx-4060-512gb-ssd-16gb-ddr5-qhd-165hz-1732804445641671877?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Toko Expert Komputer";"Jakarta Pusat"
"COLORFUL EVOL P15 | Laptop Gaming i7 13620H RTX 4060 512GB SSD 16GB DDR5 QHD 165Hz sRGB";"Rp18.699.000";"https://www.tokopedia.com/toko-expert-komputer/colorful-evol-p15-laptop-gaming-i7-13620h-rtx-4060-512gb-ssd-16gb-ddr5-qhd-165hz-srgb-1732802902393324741?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Toko Expert Komputer";"Jakarta Pusat"
"COLORFUL EVOL P15 RTX 4060 i7 - 13620H Laptop Gaming | Abu-abu";"Rp17.999.000";"https://www.tokopedia.com/gamingpcstore/colorful-evol-p15-rtx-4060-i7-13620h-laptop-gaming-abu-abu-1733307808833963173?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"STAR17 COM";"Jakarta Selatan"
"ACER PREDATOR HELIOS NEO 16 PHN16-72-93X3 - GeForce RTX 4060 Core i9-14900HX 1TB SSD 16GB RAM Notebook Laptop Gaming";"Rp24.799.000";"https://www.tokopedia.com/gasolsumbersari/acer-predator-helios-neo-16-phn16-72-93x3-geforce-rtx-4060-core-i9-14900hx-1tb-ssd-16gb-ram-notebook-laptop-gaming-1734445399974774671?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"GASOL SUMBERSARI";"Malang"
"ACER PREDATOR HELIOS NEO 16 PHN16-72-93X3 - GeForce RTX 4060 Core i9-14900HX 1TB SSD 16GB RAM Notebook Laptop Gaming";"Rp24.799.000";"https://www.tokopedia.com/galaxy-solusindo/acer-predator-helios-neo-16-phn16-72-93x3-geforce-rtx-4060-core-i9-14900hx-1tb-ssd-16gb-ram-notebook-laptop-gaming-1734445401533547937?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Galaxy Solusindo";"Malang"
"COLORFUL EVOL P15 i7-13620H RAM 16GB DDR5 4800MHz SSD 512GB RTX 4060 8GB GDDR6 15.6"" QHD 165Hz Laptop";"Rp17.899.000";"https://www.tokopedia.com/star-seventeen-com/colorful-evol-p15-i7-13620h-ram-16gb-ddr5-4800mhz-ssd-512gb-rtx-4060-8gb-gddr6-15-6-qhd-165hz-laptop-1730864491857676165?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"STAR SEVENTEEN COM";"Jakarta Selatan"
"Laptop Gaming Colorful Evol P15 - Intel Core i7-13620H | 16GB | GeForce RTX 4060 | SSD NVMe 512GB";"Rp17.859.000";"https://www.tokopedia.com/central-display/laptop-gaming-colorful-evol-p15-intel-core-i7-13620h-16gb-geforce-rtx-4060-ssd-nvme-512gb-1733660723456738934?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Central Display";"Jakarta Pusat"
"Laptop Axioo Pongo 760 V2 Intel Core i7 13620H Rtx 4060 8Gb / Ram 16Gb 512Gb Ssd Win 11 Ori 15.6 Full HD 144Hz";"Rp17.799.000";"https://www.tokopedia.com/herlinacom/laptop-axioo-pongo-760-v2-intel-core-i7-13620h-rtx-4060-8gb-ram-16gb-512gb-ssd-win-11-ori-15-6-full-hd-144hz-1731176175853471118?extParam=ivf%3Dtrue%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Herlinacom";"Depok"
"COLORFUL EVOL P15 23-HJ76B-G - GeForce RTX 4060 Core i7-13620H 512GB SSD 16GB RAM Grey Notebook Laptop Gaming";"Rp17.599.000";"https://www.tokopedia.com/gasoldinoyo/colorful-evol-p15-23-hj76b-g-geforce-rtx-4060-core-i7-13620h-512gb-ssd-16gb-ram-grey-notebook-laptop-gaming-1734313782514386088?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"GASOL DINOYO MALANG";"Malang"
"Lenovo ThinkPad P1 Gen 6 2R00 Intel Core i7 13800H vPro Win11 Pro 16GB 1TB SSD NVIDIA RTX 4060 8GB 16"" WQXGA IPS Antiglare 165Hz 100% sRGB 500nits 1080p IR Backlit Fingerprint MilSpec Laptop Bisnis Workstation P 16inch 21FVS02R00 Black";"Rp54.719.000";"https://www.tokopedia.com/infomikro/lenovo-thinkpad-p1-gen-6-2r00-intel-core-i7-13800h-vpro-win11-pro-16gb-1tb-ssd-nvidia-rtx-4060-8gb-16-wqxga-ips-antiglare-165hz-100-srgb-500nits-1080p-ir-backlit-fingerprint-milspec-laptop-bisnis-workstation-p-16inch-21fvs02r00-black-1734394738452825413?extParam=ivf%3Dfalse%26keyword%3Drtx+4060+laptop%26search_id%3D2026050803385463923F49E52413069O3N%26src%3Dsearch";"Lenovo Store by IMD";"Jakarta Pusat"
